Title,Description,Priority,Type,Status,Steps,Outcome,bdd_scenario,Tags,Preconditions
Verify logout functionality,This test case aims to verify logout functionality.,Medium,Functional,Open,"1. Log in to the application. 2. Click the logout button.","","","logout,functionality testing,QA",Initially login into the system.
Verify login performance,This test case aims to verify login performance.,High,Performance,Draft,"1. Navigate to the login page. 2. Enter valid username and password. 3. Click the login button. 4. Measure the time taken to log in.","","","performance", Be prepared with a good network connection
Verify password complexity requirements,This test case aims to verify password complexity requirements.,High,Security,Closed,"","1. Pass","1. Scenario: User sets a complex password Given the user is on the password reset page When the user enters a new password that does not meet complexity requirements And attempts to save the new password Then the user should see an error message indicating password complexity requirements 2. Scenario: User sets a complex username Given the user is on the username reset page When the user enters a new username that is not available on the platform And attempts to save it in the system Then the user should see an error message indicating username is already taken","",Check the password checks for the industry to match their standards
Verify brute force attack prevention,This test case aims to verify brute force attack prevention.,High,Security,Draft,"","","Scenario: User is protected from brute force attacks Given the user is on the login page When the user attempts multiple login attempts with invalid credentials Then the account should be temporarily locked","attack prevention",
Verify account lock after multiple failed login attempts,This test case aims to verify account lock after multiple failed login attempts.,High,Security,Closed,"1. Navigate to the login page. 2. Enter invalid credentials multiple times. 3. Verify the account is locked after a certain number of attempts.","1. The login page should be displayed 2. Each time invalid credentials are entered, an error message indicating invalid credentials should be displayed 3. The account should be locked, and an error message indicating that the account is locked should be displayed","Scenario: User's account is locked after multiple failed login attempts Given the user is on the login page When the user enters invalid credentials multiple times Then the account should be locked after a certain number of attempts","", Check the ratelimit 
Verify view profile functionality,This test case aims to verify view profile functionality.,Low,Functional,Draft,"1. Log in to the application. 2. Navigate to the profile page.","","Scenario: User views profile Given the user is logged in When the user navigates to the profile page Then the user should see their profile information","",""
Verify edit profile functionality,This test case aims to verify edit profile functionality.,Medium,Functional,Draft,"1. Log in to the application. 2. Navigate to the profile page. 3. Click the edit button. 4. Modify profile details. 5. Click the save button.","","Scenario: User edits profile Given the user is on the profile page When the user clicks the edit button And modifies profile details And clicks the save button Then the profile details should be updated","",
Verify change profile picture functionality,This test case aims to verify change profile picture functionality.,Medium,Functional,Open,"1. Log in to the application. 2. Navigate to the profile page. 3. Click the change profile picture button. 4. Upload a new picture. 5. Click the save button.","","","",
Verify delete profile functionality,This test case aims to verify delete profile functionality.,High,Functional,Open,"1. Log in to the application. 2. Navigate to the profile page. 3. Click the delete button. 4. Confirm the deletion.","","","",
Verify view order history functionality,This test case aims to verify view order history functionality.,Low,Functional,Draft,"","","Scenario: User views order history Given the user is logged in When the user navigates to the order history page Then the user should see a list of past orders","Order History,Tracking",Prepare a cart for placing order
Verify profile update security,This test case aims to verify profile update security.,High,Security,Closed,"","","Scenario: User attempts insecure profile update Given the user is on the profile page When the user attempts to update profile with invalid data Then the update should be rejected with an error message","",
Verify update profile picture,This test case aims to verify update profile picture.,Medium,Functional,Draft,"","","1. Scenario: User updates profile picture Given the user is on the profile page When the user clicks on the profile picture And uploads a new profile picture Then the profile picture should be updated 2. Scenario: User sets a profile picture Given the user is on the profile reset page When the user enters a new picture that does not meet lighting requirements And attempts to save the profile picture Then the user should see an error message indicating there are some clarity problems","",
Verify order details,This test case aims to verify order details.,Low,Functional,Draft,"","","1. Scenario: User views order details Given the user is on the order history page When the user clicks on an order to view details Then the user should see the order details 2. Scenario: User views profile details Given the user is on the profile page When the user clicks on profile to view details Then the user should see the profile details","",
Verify phone number update,This test case aims to verify phone number update.,Medium,Functional,Closed,"1. Navigate to the profile page. 2. Click on the phone number field. 3. Enter a new phone number. 4. Save the changes.","1. The profile page should be displayed 2. The phone number field should become editable 3. The profile page should be displayed 4. The new phone number should be displayed in the phone number field 5. The profile page should refresh, and the updated phone number should be displayed in the phone number field","","",
Verify order status update,This test case aims to verify order status update.,Low,Functional,Open,"1. Navigate to the order history page. 2. Verify the order status is updated correctly.","1. Order history page should be displayed","","",
Verify login with valid credentials,This test case aims to verify login with valid credentials.,High,Functional,Draft,"1. Navigate to the login page. 2. Enter valid username and password. 3. Click the login button.","1. The login page should be displayed 2. The entered username and password should be visible in the respective fields 3. The user should be redirected to the dashboard","","",
Verify login with invalid credentials,This test case aims to verify login with invalid credentials.,High,Functional,Open,"1. Navigate to the login page. 2. Enter invalid username and/or password. 3. Click the login button.","An error message indicating invalid credentials should be displayed","","",
Verify forgot password functionality,This test case aims to verify forgot password functionality.,Medium,Functional,Draft,"1. Navigate to the login page. 2. Click the 'Forgot Password' link. 3. Enter registered email address. 4. Click the submit button.","1. The login page should be displayed 2. The forgot password page should be displayed 3. The entered email address should be visible in the email field 4. A message indicating that a password reset email has been sent should be displayed","","",
Verify password reset functionality,This test case aims to verify password reset functionality.,High,Functional,Open,"1. Follow the link received in the password reset email. 2. Enter new password. 3. Confirm new password. 4. Click the reset button.","1. The password reset page should be displayed 2. A message indicating that the password has been reset successfully should be displayed","","",
